commit_hash,timestamp,node_version,node_version_source,pm_version,pm_version_source,test,end-to-end-test,test:client,test:kumascript,test:testing,test:build,test:content,test:headless,test:developing,test:prepare,test:libs
0d249066037486dccece1d491a92df42e0287ad7,1578020283,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
7445a083120f036c3b09b148720eec6f440dd6e7,1578020315,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
ff6788e925a19bbfc1466415df40f0415a3b606a,1578020435,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
124abd74266c3d9cbaef73e63648582e85f2d6fa,1578079977,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
f4339039bc8ada22c9d7c2600099f0d8a881617e,1578082398,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
34f9b51cdce351dc01c41b1cb77e9e1a40ed8e85,1578082812,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
d4afe6c33b417e8ec0791b502cbb57df8de5ddf5,1578087245,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
5ced933d05a5f95c1bd603baac9de81ce044b038,1578093226,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
d81abe44176150d5e6dd4e241b1411d22934ca69,1578175772,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
8ab317a2326b77d333762e5e819be83ebe75e090,1578410064,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
c92b43bb22605a9d2a8a2c8c5c75115e862ba13e,1578473286,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
c95b38c775951b0d822977a98ef18eb73df8b8c9,1578496023,10,package.json,yarn,yarn.lock,yarn prettier-check && yarn workspace ssr test && yarn workspace client test,node scripts/end-to-end-test.js,,,,,,,,,
