project,run_id,suite,exit_code,failure_index,line_number,keyword,label,labeled_at,fingerprint,occurrences,auto_rule_id
apollo-client,1589990611_eff9be8c20e17557b8f8cab0e79934f3be95615b,config_unit,1,1,1180,"  ● writing to the store › ""Cache data maybe lost..."" warnings › should not warn when scalar fields are updated",acceptable,2026-09-16T07:37:00.239250+00:00,d4416d918126cc4a,162,b0e89a7de6f5
apollo-client,1589990611_eff9be8c20e17557b8f8cab0e79934f3be95615b,config_unit,1,2,2358,  ● Basic resolver capabilities › should handle @client fields inside fragments,acceptable,2026-09-16T07:37:00.241024+00:00,c57e03cb6818f7f3,3,68da1bb52127
apollo-client,1612462810_a08cb7372af917cd5cedf221bd781bd925874cc5,src_unit,1,3,1486,  ● Query component › should not persist previous result errors when a subsequent valid result is received,acceptable,2026-09-16T07:37:00.241592+00:00,45da62a5ba17ed08,21,7302e05056e0
apollo-client,1612462810_a08cb7372af917cd5cedf221bd781bd925874cc5,src_unit,1,4,1973,  ● [queries] loading › correctly sets loading state on remounted network-only query,acceptable,2026-09-16T07:37:00.241900+00:00,7172b33c70c8507b,5,7302e05056e0
apollo-client,1616180180_87d52610ad47ebad25bc948318de7a5749278e2c,src_unit,1,5,1056,  ● EntityStore › gracefully handles eviction amid optimistic updates,acceptable,2026-09-16T07:37:00.242209+00:00,a7b22b133144301c,1,3b48c956d8c7
apollo-client,1616440423_1572c95eee1b89bb4338782797bc4a00c12106c4,src_unit,1,6,844,  ● optimistic mutation results › optimistic updates using `update` › final update ignores optimistic data,acceptable,2026-09-16T07:37:00.242502+00:00,300d3e1cef76d75a,2,3b48c956d8c7
apollo-client,1616440423_1572c95eee1b89bb4338782797bc4a00c12106c4,src_unit,1,7,2767,  ● optimistic mutation results › optimistic updates using `update` › final update ignores optimistic data,acceptable,2026-09-16T07:37:00.242788+00:00,605a21cb3ce4ff99,2,3b48c956d8c7
apollo-client,1617065902_22ee1b10eeed1ebb84e74cc430574ba990e5293b,src_unit,1,8,1947,  ● useSubscription Hook › should handle immediate completions with multiple subscriptions gracefully,acceptable,2026-09-16T07:37:00.243260+00:00,e38c7d3827216030,2,acaaf9d0aad1
apollo-client,1617221714_aeaeedcc7b552b350663153ddf0182980e102357,src_unit,1,9,1940,  ● no-cache › does not update the cache on a mutation,acceptable,2026-09-16T07:37:00.243570+00:00,b65b72e6dd135da0,1,3b48c956d8c7
apollo-client,1617740879_82c68c838978c87e95bbab8ef9e3194a9d844a77,src_unit,1,10,837,  ● QueryManager › refetching specified queries › returns a promise resolving when all queries have been refetched,acceptable,2026-09-16T07:37:00.243885+00:00,638f8e33f4a356e9,3,3b48c956d8c7
apollo-client,1617740879_82c68c838978c87e95bbab8ef9e3194a9d844a77,src_unit,1,11,862,  ● QueryManager › refetchQueries › should not warn and continue when an unknown query name is asked to refetch,acceptable,2026-09-16T07:37:00.244194+00:00,3dcc6de11abbb1b1,9,7302e05056e0
apollo-client,1617740879_82c68c838978c87e95bbab8ef9e3194a9d844a77,src_unit,1,12,880,  ● QueryManager › refetchQueries › should ignore without warning a query name that is asked to refetch with no active subscriptions,acceptable,2026-09-16T07:37:00.244483+00:00,d8165513619e613a,4,7302e05056e0
